TYPEPSC,STYPEPSC,LIBELLE,REFLOI,REFREGLE
01,00,Espace boisé classé,,R151-31 1°
01,01,Espace boisé classé à protéger ou conserver,,R151-31 1°
01,02,Espace boisé classé à créer,,R151-31 1°
02,00,"Limitations de la constructibilité pour des raisons environnementales, de risques, d’intérêt général",,"R151-31 2° et R151-34 1°"
02,01,"Secteur avec interdiction de constructibilité pour des raisons environnementales, de risques, d’intérêt général",,R151-31 2°
02,02,"Secteur avec conditions spéciales de constructibilité pour des raisons environnementales, de risques, d’intérêt général",,R151-34 1°
07,00,"Patrimoine bâti, paysager ou éléments de paysages à protéger pour des motifs d'ordre culturel, historique, architectural ou écologique","L313-1 III 1°, L313-1 IV et L631-4 CP I 2°c","R313-5 4e al, R151-41 3° et R151-43 5°"
07,01,"Patrimoine bâti à protéger pour des motifs d'ordre culturel, historique, architectural",,R151-41 3°
07,02,"Patrimoine paysager à protéger pour des motifs d'ordre culturel, historique, architectural",,R151-41 3°
07,03,"Patrimoine paysager correspondant à un espace boisé à protéger pour des motifs d'ordre culturel, historique, architectural",,R151-41 3°
07,04,"Éléments de paysage, (sites et secteurs) à préserver pour des motifs d'ordre écologique",,R151-43 5°
07,05,"Éléments de paysage correspondant à un espace boisé, (sites et secteurs) à préserver pour des motifs d'ordre écologique",,R151-43 5°
07,53,"Mur de soutènement, rempart ou mur de clôture protégé, à conserver, restaurer et mettre en valeur","L313-1 III 1° et L631-4 CP I 2°c","R151-41 3°"
07,55,"Séquence, composition, ordonnance architecturale ou urbaine protégée, à conserver, restaurer et mettre en valeur","L631-4 CP I 2°c","R151-41 3°"
07,56,"Séquence naturelle protégée (front rocheux, falaise, etc.), à conserver, restaurer et mettre en valeur","L631-4 CP I 2°c","R151-41 3°"
07,59,"Séquence, composition ou ordonnance végétale d’ensemble protégée, à conserver, restaurer et mettre en valeur","L631-4 CP I 2°c","R151-41 3°"
07,64,"Passage d’eau souterrain protégé, à conserver, restaurer et mettre en valeur","L631-4 CP I 2°c","R151-41 3°"
07,69,"Unité urbanistique ou paysagère (secteur, quartier...) soumise à des dispositions spécifiques","L631-4 CP I 2°b",
15,00,Règles d’implantation des constructions,,R151-39 dernier al.
15,01,Implantation des constructions par rapport aux voies et aux emprises publiques,,R151-39 
15,02,Implantation des constructions par rapport aux limites séparatives latérales,,R151-39 
15,03,Implantation des constructions par rapport aux limites des fonds de parcelles,,R151-39
15,50,Limite maximale d’implantation de construction,L631-4 CP I 2°a,
15,51,Limite imposée d’implantation de construction,L631-4 CP I 2°a,
15,98,Implantation alternative des constructions,,R151-39 
22,00,Diversité commerciale à protéger ou à développer,,R151-37 4°
22,01,Diversité commerciale à protéger,,R151-37 4°
22,02,Diversité commerciale à développer,,R151-37 4°
22,03,Linéaire commercial protégé,,R151-37 4°
22,04,Linéaire commercial protégé renforcé,,R151-37 4°
24,00,"Voies, chemins, transport public à conserver et à créer",,R151-48 1°
24,01,"Voies de circulation à créer, modifier ou conserver",,R151-48 1°
24,02,Voies de circulation à modifier,,R151-48 1°
24,03,Voies de circulation à créer,,R151-48 1°
24,04,Voies de circulation à conserver,,R151-48 1°
24,50,Passage ou liaison piétonne à maintenir ou à créer,,R151-48 1°
25,00,Eléments de continuité écologique et trame verte et bleue,,R151-43 4°et R151-43 8 °
28,00,Conditions de desserte,,R151-47 1° et 2°
28,01,Conditions permettant une bonne desserte des terrains par les services publics de collecte des déchets,,R151-47 2°
30,00,Majoration des volumes constructibles,L151-28,R151-37 2°
30,01,Majoration des volumes constructibles pour l’habitation,L151-28 1°,R151-37 5°
30,02,Majoration des volumes constructibles pour les programmes comportant des logements locatifs sociaux,L151-28 2°,R151-37 2°
30,03,Majoration des volumes constructibles pour exemplarité énergétique ou environnementale,L151-28 3°,R151-42 3°
30,04,Majoration des volumes constructibles pour les programmes comportant des logements intermédiaires,L151-28 4°,R151-37 7°
31,00,Espaces remarquables du littoral,L121-23,R121-4 1° à 8°
31,01,"Dunes, landes côtières, plages et lidos, estrans, falaises et abords",L121-23,R121-4  1°
31,02,Forêts et zones boisées proches du rivage de la mer et des plans d’eau intérieurs d’une superficie supérieure à 1 000 hectares,L121-23,R121-4  2°
31,03,Ilots inhabités,L121-23,R121-4  3°
31,04,"Parties naturelles des estuaires, des rias ou abers et des caps",L121-23,R121-4  4°
31,05,"Marais, vasières, tourbières, plans d'eau, les zones humides et milieux temporairement immergés",L121-23,R121-4  5°
31,06,Milieux abritant des concentrations naturelles d'espèces animales ou végétales,L121-23,R121-4  6°
31,07,Parties naturelles des sites inscrits ou classés ,L121-23,R121-4  7°
31,08,Formations géologiques,L121-23,R121-4  8°
34,00,"Espaces, paysage et milieux caractéristiques du patrimoine naturel et culturel montagnard à préserver",L122-9,
35,00,"Terres nécessaires au maintien et au développement des activités agricoles, pastorales et forestières à préserver",L122-10,
39,00,Hauteur,L631-4 CP I 2°a,R151-39 
39,01,Hauteur minimale,L631-4 CP I 2°a,R151-39 2e al.
39,02,Hauteur maximale,L631-4 CP I 2°a,R151-39 1er al.
39,50,Hauteur maximale de façade,L631-4 CP I 2°a,R151-39 1er et 2e al.
39,51,Hauteur maximale de faîtage ou de construction,L631-4 CP I 2°a,R151-39 1er et 2e al.
39,52,Hauteur imposée de façade,L631-4 CP I 2°a,R151-39 1er et 2e al.
39,97,Hauteur règles qualitatives,L631-4 CP I 2°a,R151-39 dernier al.
39,98,Hauteur règles alternatives,L631-4 CP I 2°a,R151-41 1°
40,00,Volumétrie,L631-4 CP I 2°a,R151-39
40,01,Volumétrie minimale,L631-4 CP I 2°a,R151-39 2e al.
40,02,Volumétrie maximale,L631-4 CP I 2°a,R151-39 1er al.
40,50,"Point de vue, perspective à préserver et à mettre en valeur","L631-4 CP I 2°a","R151-39 dernier al."
40,97,Règles volumétriques qualitatives,L631-4 CP I 2°a,R151-39 dernier al.
40,98,Règles volumétriques alternatives,L631-4 CP I 2°a,R151-41 1°
41,00,Aspect extérieur,L631-4 CP I 2°a,R151-41 2°
41,01,Aspect extérieur façades,L631-4 CP I 2°a,R151-41 2°
41,02,Aspect extérieur toitures,L631-4 CP I 2°a,R151-41 2°
41,03,Aspect extérieur clôtures,L631-4 CP I 2°a,R151-41 2°
41,98,Aspect extérieur règles alternatives,L631-4 CP I 2°a,R151-13 
43,00,"Réalisation d’espaces libres, plantations, aires de jeux et de loisir",,R151-43 2° et 8°
43,01,"Réalisation d’espaces libres,",,R151-43 2°
