TYPEPSC,STYPEPSC,LIBELLE,REFLOI,REFREGLE
01,00,Espace boisé classé,,R151-31 1°
01,01,Espace boisé classé à protéger ou conserver,,R151-31 1°
01,02,Espace boisé classé à créer,,R151-31 1°
01,03,Espace boisé classé significatif au titre de la loi littoral,,
02,00,"Limitations de la constructibilité pour des raisons environnementales, de risques, d’intérêt général",,"R151-31 2° et R151-34 1°"
02,01,"Secteur avec interdiction de constructibilité pour des raisons environnementales, de risques, d’intérêt général",,R151-31 2°
02,02,"Secteur avec conditions spéciales de constructibilité pour des raisons environnementales, de risques, d’intérêt général",,R151-34 1°
03,00,"Secteur avec disposition de reconstruction / démolition",L151-10,R151-34 3°
03,02,Interdiction de restauration de bâtiment dont il reste l’essentiel des murs porteurs,L111-23,
03,50,"Immeuble ou partie d’immeuble dont la modification peut être imposée à l’occasion d’opérations d’aménagement publiques ou privées","L313-1 III 2°","R313-5 3e alinéa"
03,51,"Immeuble ou partie d’immeuble dont la démolition peut être imposée à l’occasion d’opérations d’aménagement publiques ou privées","L313-1 III 2°","R313-5 3e alinéa"
04,00,Périmètre issu des PDU sur obligation de stationnement,,
05,00,"[Ne pas utiliser] Emplacement réservé",,"R151-34 4°, R151-38 1°, R151-43 3°, R151-48 2°, R151-50 1°"
05,01,Emplacement réservé aux voies publiques,,R151-48 2°
05,02,Emplacement réservé aux ouvrages publics,,R151-50 1°
05,03,Emplacement réservé aux installations d’intérêt général,,R151-34 4°
05,04,Emplacement réservé aux espaces verts/continuités écologiques,,R151-43 3°
05,05,Emplacement réservé logement social/mixité sociale,,R151-38 1°
05,06,"Servitude de localisation des voies, ouvrages publics, installations d’intérêt général et espaces verts en zone U ou AU",,
05,07,Secteur de projet en attente d’un projet d’aménagement global,,R151-32 
07,00,"Patrimoine bâti, paysager ou éléments de paysages à protéger pour des motifs d'ordre culturel, historique, architectural ou écologique","L313-1 III 1°, L313-1 IV et L631-4 CP I 2°c","R313-5 4e al, R151-41 3° et R151-43 5°"
07,01,"Patrimoine bâti à protéger pour des motifs d'ordre culturel, historique, architectural",,R151-41 3°
07,02,"Patrimoine paysager à protéger pour des motifs d'ordre culturel, historique, architectural",,R151-41 3°
07,03,"Patrimoine paysager correspondant à un espace boisé à protéger pour des motifs d'ordre culturel, historique, architectural",,R151-41 3°
07,04,"Éléments de paysage, (sites et secteurs) à préserver pour des motifs d'ordre écologique",,R151-43 5°
07,05,"Éléments de paysage correspondant à un espace boisé, (sites et secteurs) à préserver pour des motifs d'ordre écologique",,R151-43 5°
07,50,"Immeuble bâti dont les parties intérieures et extérieures sont protégées en totalité, à conserver, restaurer et mettre en valeur","L313-1 III 1°, L313-1 IV et L631-4 CP I 2°c","R151-41 3° et R313-5 4e alinéa"
07,51,"Élément intérieur particulier protégé, à conserver, restaurer et mettre en valeur","L313-1 III 1° et L313-1 IV","R313-5 4e alinéa"
07,52,"Immeuble bâti dont les parties extérieures sont protégées (façades,toitures, etc.), à conserver, restaurer et mettre en valeur","L313-1 III 1° et L631-4 CP I 2°c","R151-41 3°"
07,53,"Mur de soutènement, rempart ou mur de clôture protégé, à conserver, restaurer et mettre en valeur","L313-1 III 1° et L631-4 CP I 2°c","R151-41 3°"
07,54,"Élément extérieur particulier protégé (portail, clôture, puits, fontaine, statue, décor, etc.), à conserver, restaurer et mettre en valeur","L313-1 III 1°, L313-1 IV et L631-4 CP I 2°c","R151-41 3° et R313-5 4e alinéa"
07,55,"Séquence, composition, ordonnance architecturale ou urbaine protégée, à conserver, restaurer et mettre en valeur","L631-4 CP I 2°c","R151-41 3°"
07,56,"Séquence naturelle protégée (front rocheux, falaise, etc.), à conserver, restaurer et mettre en valeur","L631-4 CP I 2°c","R151-41 3°"
07,57,"Parc ou jardin de pleine terre protégé, à conserver, restaurer et mettre en valeur","L631-4 CP I 2°c","R151-41 3°"
07,58,"Espace libre à dominante végétale protégé, à conserver, restaurer et mettre en valeur","L631-4 CP I 2°c","R151-41 3°"
07,59,"Séquence, composition ou ordonnance végétale d’ensemble protégée, à conserver, restaurer et mettre en valeur","L631-4 CP I 2°c","R151-41 3°"
07,60,"Arbre remarquable ou autre élément naturel protégé (grotte, rocher, etc.), à conserver, restaurer et mettre en valeur","L631-4 CP I 2°c","R151-41 3°"
07,61,"Place, cour ou autre espace libre à dominante minérale protégé (pavés, calades, etc.), à conserver, restaurer et mettre en valeur","L631-4 CP I 2°c","R151-41 3°"
07,62,"Cours d’eau, réseau hydraulique ou étendue aquatique protégé, à conserver, restaurer et mettre en valeur","L631-4 CP I 2°c","R151-41 3°"
07,63,"Point d’eau ou source protégé, à conserver, restaurer et mettre en valeur ","L631-4 CP I 2°c","R151-41 3°"
07,64,"Passage d’eau souterrain protégé, à conserver, restaurer et mettre en valeur","L631-4 CP I 2°c","R151-41 3°"
07,65,"Espace vert non protégé à requalifier ","L631-4 CP I 2°c","R151-41 3°"
07,66,"Place, cour, ou autre espace libre à dominante minérale non protégé à requalifier","L631-4 CP I 2°c","R151-41 3°"
07,67,"Immeuble bâti non protégé soumis à des dispositions spécifiques ou des règles générales localisées","L631-4 CP I 2°c ed d",
07,68,"Immeuble non bâti ou espace libre non protégé soumis à des dispositions spécifiques ou des règles générales localisées","L631-4 CP I 2°c",
07,69,"Unité urbanistique ou paysagère (secteur, quartier...) soumise à des dispositions spécifiques","L631-4 CP I 2°b",
08,00,Terrain cultivé ou non bâti à protéger en zone urbaine,,R151-43 6°
13,00,Zone à aménager en vue de la pratique du ski,,R151-48 3°
14,00,Secteur de plan de masse,,R151-40 
15,00,Règles d’implantation des constructions,,R151-39 dernier al.
15,01,Implantation des constructions par rapport aux voies et aux emprises publiques,,R151-39 
15,02,Implantation des constructions par rapport aux limites séparatives latérales,,R151-39 
15,03,Implantation des constructions par rapport aux limites des fonds de parcelles,,R151-39
15,50,Limite maximale d’implantation de construction,L631-4 CP I 2°a,
15,51,Limite imposée d’implantation de construction,L631-4 CP I 2°a,
15,98,Implantation alternative des constructions,,R151-39 
16,00,Constructions et installations nécessaires à des équipements collectifs en zone A ou N,,R151-23 2° et R151-25  
16,01,Bâtiment susceptible de changer de destination en zone A ou N,,"R151-23 2°, R151-25 2° et R151-35"
16,02,Bâtiments d’habitation existants pouvant faire l’objet d’extensions ou d’annexes en zone A ou N,L151-12,R151-23 2° et R151-25 2°
16,03,Secteur de taille et de capacité d’accueil limitées (STECAL) en zone A ou N,L151-13,R151-23 2° et R151-25 2°
