TYPEPSC,STYPEPSC,LIBELLE,REFLOI,REFREGLE
01,00,Espace boisé classé,,R151-31 1°
01,01,Espace boisé classé à protéger ou conserver,,R151-31 1°
01,02,Espace boisé classé à créer,,R151-31 1°
02,00,"Limitations de la constructibilité pour des raisons environnementales, de risques, d’intérêt général",,"R151-31 2° et R151-34 1°"
02,01,"Secteur avec interdiction de constructibilité pour des raisons environnementales, de risques, d’intérêt général",,R151-31 2°
02,02,"Secteur avec conditions spéciales de constructibilité pour des raisons environnementales, de risques, d’intérêt général",,R151-34 1°
03,00,"Secteur avec disposition de reconstruction / démolition",L151-10,R151-34 3°
03,02,Interdiction de restauration de bâtiment dont il reste l’essentiel des murs porteurs,L111-23,
03,50,"Immeuble ou partie d’immeuble dont la modification peut être imposée à l’occasion d’opérations d’aménagement publiques ou privées","L313-1 III 2°","R313-5 3e alinéa"
07,00,"Patrimoine bâti, paysager ou éléments de paysages à protéger pour des motifs d'ordre culturel, historique, architectural ou écologique","L313-1 III 1°, L313-1 IV et L631-4 CP I 2°c","R313-5 4e al, R151-41 3° et R151-43 5°"
07,01,"Patrimoine bâti à protéger pour des motifs d'ordre culturel, historique, architectural",,R151-41 3°
07,02,"Patrimoine paysager à protéger pour des motifs d'ordre culturel, historique, architectural",,R151-41 3°
07,03,"Patrimoine paysager correspondant à un espace boisé à protéger pour des motifs d'ordre culturel, historique, architectural",,R151-41 3°
07,04,"Éléments de paysage, (sites et secteurs) à préserver pour des motifs d'ordre écologique",,R151-43 5°
07,05,"Éléments de paysage correspondant à un espace boisé, (sites et secteurs) à préserver pour des motifs d'ordre écologique",,R151-43 5°
07,51,"Élément intérieur particulier protégé, à conserver, restaurer et mettre en valeur","L313-1 III 1° et L313-1 IV","R313-5 4e alinéa"
07,54,"Élément extérieur particulier protégé (portail, clôture, puits, fontaine, statue, décor, etc.), à conserver, restaurer et mettre en valeur","L313-1 III 1°, L313-1 IV et L631-4 CP I 2°c","R151-41 3° et R313-5 4e alinéa"
07,60,"Arbre remarquable ou autre élément naturel protégé (grotte, rocher, etc.), à conserver, restaurer et mettre en valeur","L631-4 CP I 2°c","R151-41 3°"
07,63,"Point d’eau ou source protégé, à conserver, restaurer et mettre en valeur ","L631-4 CP I 2°c","R151-41 3°"
15,00,Règles d’implantation des constructions,,R151-39 dernier al.
15,01,Implantation des constructions par rapport aux voies et aux emprises publiques,,R151-39 
15,02,Implantation des constructions par rapport aux limites séparatives latérales,,R151-39 
15,03,Implantation des constructions par rapport aux limites des fonds de parcelles,,R151-39
15,98,Implantation alternative des constructions,,R151-39 
16,00,Constructions et installations nécessaires à des équipements collectifs en zone A ou N,,R151-23 2° et R151-25  
16,01,Bâtiment susceptible de changer de destination en zone A ou N,,"R151-23 2°, R151-25 2° et R151-35"
16,02,Bâtiments d’habitation existants pouvant faire l’objet d’extensions ou d’annexes en zone A ou N,L151-12,R151-23 2° et R151-25 2°
16,03,Secteur de taille et de capacité d’accueil limitées (STECAL) en zone A ou N,L151-13,R151-23 2° et R151-25 2°
16,04,Constructions et installations nécessaires à l’activité agricole en zone A ou N,L151-11 II,R151-23 1° et R151-25 1°
22,00,Diversité commerciale à protéger ou à développer,,R151-37 4°
22,01,Diversité commerciale à protéger,,R151-37 4°
22,02,Diversité commerciale à développer,,R151-37 4°
22,03,Linéaire commercial protégé,,R151-37 4°
22,04,Linéaire commercial protégé renforcé,,R151-37 4°
25,00,Eléments de continuité écologique et trame verte et bleue,,R151-43 4°et R151-43 8 °
28,00,Conditions de desserte,,R151-47 1° et 2°
28,01,Conditions permettant une bonne desserte des terrains par les services publics de collecte des déchets,,R151-47 2°
30,00,Majoration des volumes constructibles,L151-28,R151-37 2°
30,01,Majoration des volumes constructibles pour l’habitation,L151-28 1°,R151-37 5°
30,02,Majoration des volumes constructibles pour les programmes comportant des logements locatifs sociaux,L151-28 2°,R151-37 2°
30,03,Majoration des volumes constructibles pour exemplarité énergétique ou environnementale,L151-28 3°,R151-42 3°
30,04,Majoration des volumes constructibles pour les programmes comportant des logements intermédiaires,L151-28 4°,R151-37 7°
31,00,Espaces remarquables du littoral,L121-23,R121-4 1° à 8°
31,01,"Dunes, landes côtières, plages et lidos, estrans, falaises et abords",L121-23,R121-4  1°
31,02,Forêts et zones boisées proches du rivage de la mer et des plans d’eau intérieurs d’une superficie supérieure à 1 000 hectares,L121-23,R121-4  2°
31,03,Ilots inhabités,L121-23,R121-4  3°
31,04,"Parties naturelles des estuaires, des rias ou abers et des caps",L121-23,R121-4  4°
31,05,"Marais, vasières, tourbières, plans d'eau, les zones humides et milieux temporairement immergés",L121-23,R121-4  5°
31,06,Milieux abritant des concentrations naturelles d'espèces animales ou végétales,L121-23,R121-4  6°
31,07,Parties naturelles des sites inscrits ou classés ,L121-23,R121-4  7°
31,08,Formations géologiques,L121-23,R121-4  8°
34,00,"Espaces, paysage et milieux caractéristiques du patrimoine naturel et culturel montagnard à préserver",L122-9,
39,00,Hauteur,L631-4 CP I 2°a,R151-39 
39,01,Hauteur minimale,L631-4 CP I 2°a,R151-39 2e al.
39,02,Hauteur maximale,L631-4 CP I 2°a,R151-39 1er al.
39,97,Hauteur règles qualitatives,L631-4 CP I 2°a,R151-39 dernier al.
39,98,Hauteur règles alternatives,L631-4 CP I 2°a,R151-41 1°
40,00,Volumétrie,L631-4 CP I 2°a,R151-39
40,01,Volumétrie minimale,L631-4 CP I 2°a,R151-39 2e al.
40,02,Volumétrie maximale,L631-4 CP I 2°a,R151-39 1er al.
40,97,Règles volumétriques qualitatives,L631-4 CP I 2°a,R151-39 dernier al.
40,98,Règles volumétriques alternatives,L631-4 CP I 2°a,R151-41 1°
41,00,Aspect extérieur,L631-4 CP I 2°a,R151-41 2°
41,01,Aspect extérieur façades,L631-4 CP I 2°a,R151-41 2°
41,02,Aspect extérieur toitures,L631-4 CP I 2°a,R151-41 2°
41,03,Aspect extérieur clôtures,L631-4 CP I 2°a,R151-41 2°
41,98,Aspect extérieur règles alternatives,L631-4 CP I 2°a,R151-13 
43,00,"Réalisation d’espaces libres, plantations, aires de jeux et de loisir",,R151-43 2° et 8°
43,01,"Réalisation d’espaces libres,",,R151-43 2°
43,02,Réalisation d’aires de jeux et de loisirs,,R151-43 2°
43,03,Réglementation des plantations,,R151-43 8°
47,00,Desserte par les réseaux,,R151-49 
47,01,Réseaux publics d'eau,,R151-49 
47,02,Réseaux publics d'électricité,,R151-49 
47,03,Réseaux publics d'assainissement,,R151-49 
