TYPEINF,STYPEINF,LIBELLE,REFDEF,REFANNEX
02,00,Zone d'aménagement concerté,L311-1 code de l’urbanisme,R151-52 8°
03,00,Zone de préemption dans un espace naturel et sensible. [Attention : information facultative non exigée par la loi],L215-1 code de l’urbanisme,Pas de référence pour l’annexion
04,00,Périmètre de droit de préemption urbain,L211-1 code de l’urbanisme,R151-52 7°
04,01,Périmètre de droit de préemption urbain renforcé,,R151-52 7°
05,00,Zone d'aménagement différé,L212-1 et L212-2-1 code de l’urbanisme,R151-52 7°
07,00,Périmètre de développement prioritaire économie d'énergie,L712-2 code de l’énergie,R151-53 1°
08,00,"Périmètre forestier : interdiction ou réglementation des plantations (code rural et de la pêche maritime), plantations à réaliser et semis d'essence forestière",L126-1 code rural et de la pêche maritime,R151-53 2°
09,00,Périmètre minier de concession pour l'exploitation ou le stockage,Livres I et II du code minier,R151-53 3°
10,00,Zone de recherche et d'exploitation de carrière,"L321-1, L333-1 et L334-1 du code minier",R151-53 4°
11,00,Périmètre des zones délimitées - divisions foncières soumises à déclaration préalable,L115-3 code de l’urbanisme,R151-52 4°
12,00,Périmètre de sursis à statuer,L424-1 code de l’urbanisme,R151-52 13°
13,00,Secteur de programme d'aménagement d'ensemble,L332-9 code de l’urbanisme dans sa version antérieure au 1er mars 2012,R151-52 9°
14,00,Périmètre de voisinage d'infrastructure de transport terrestre (secteur affecté par le bruit),L571-10 code de l’environnement,R151-53 5°
16,00,Site archéologique [Attention : information facultative non exigée par la loi],L522-5 2° du code du patrimoine,Pas de référence pour annexion
17,00,Zone à risque d'exposition au plomb,L1334-5 code de la santé publique dans sa version antérieure au 11 août 2004,R151-53 6°
19,01,"Zone d'assainissement collectif/non collectif, eaux usées/eaux pluviales, schéma de réseaux eau et assainissement, systèmes d'élimination des déchets",L2224-10 code général des collectivités territoriales,R151-53 8° (zone)
19,02,Emplacements traitement eaux et déchets,,R151-53 8° (emplacement)
20,00,Règlement local de publicité,L581-14 code de l’environnement,R151-53 11°
21,00,Projet de plan de prévention des risques,L562-2 code de l’environnement,R151-53 9°
22,00,Protection des rives des plans d'eau en zone de montagne,L122-12 code de l’urbanisme,Pas de référence pour l’annexion
23,00,Arrêté du préfet coordonnateur de massif,L122-12 code de l’urbanisme,R151-52 6°
25,00,Périmètre de protection des espaces agricoles et naturels périurbain,L113-16 code de l’urbanisme,R151-52 3°
27,00,Plan d'exposition au bruit des aérodromes,L112-6 code de l’urbanisme,R151-52 2°
30,00,Périmètre projet urbain partenarial,L332-11-3 code de l’urbanisme,R151-52 12°
31,00,Périmètres patrimoniaux d’exclusion des matériaux et énergies renouvelables pris par délibération,L111-17 code de l’urbanisme,R151-52 1°
32,00,Secteur de taxe d'aménagement,L331-14 et L331-15 code de l’urbanisme,R151-52 10°
33,00,Droit de préemption commercial. [Attention : information facultative non exigée par la loi],"L 214-1, R214-1 et 2 code de l’urbanisme",Pas de référence pour l’annexion
34,00,Périmètre d'opération d'intérêt national. [Attention : information facultative non exigée par la loi],L102-12 et R102-3 code de l’urbanisme,Pas de référence pour l’annexion
35,00,Périmètre de secteur affecté par un seuil minimal de densité,L331-36 code de l’urbanisme,R151-52 11°
36,00,Schémas d'aménagement de plage,L121-28 code de l’urbanisme,R151-52 5°
37,00,Bois ou forêts relevant du régime forestier,L211-1 et L211-2 code forestier,R151-53 7°
38,00,Secteurs d'information sur les sols ,L125-6 code de l’environnement,R151-53 10°
39,00,Périmètres de projets AFUP (dans lesquels les propriétaires fonciers sont incités à se regrouper en AFU de projet et les AFU de projet à mener leurs opérations de façon concertée),L322-13 code de l’urbanisme,R151-52 14°
40,01,Périmètre d’un bien inscrit au patrimoine mondial,L612-1 et R612-1 à R612-2 code du patrimoine,R151-53
40,02,Zone tampon d’un bien inscrit au patrimoine mondial,,R151-53
97,00,"Périmètre d’application d’une pièce écrite territorialisée relative aux annexes (liste des annexes, liste des SUP, plan des SUP)",,
98,00,Périmètre d’annulation partielle du document d’urbanisme (lorsqu’elle impacte le règlement graphique),,
99,00,"Autre  périmètre, secteur, plan, document, site, projet, espace.",,
99,01,autre relevant de la loi littoral,,
99,02,autre relevant de la loi montagne,,
