TYPEPSC,STYPEPSC,LIBELLE,REFLOI,REFREGLE
01,00,Espace boisé classé,L113-1,R151-31 1°
01,01,Espace boisé classé à protéger ou conserver,L113-1,R151-31 1°
01,02,Espace boisé classé à créer,L113-1,R151-31 1°
01,03,Espace boisé classé significatif au titre de la loi littoral,L121-27,
02,00,"Limitations de la constructibilité pour des raisons environnementales, de risques, d’intérêt général",,R151-31 2° et R151-34 1°
02,01,"Secteur avec interdiction de constructibilité pour des raisons environnementales, de risques, d’intérêt général",,R151-31 2°
02,02,"Secteur avec conditions spéciales de constructibilité pour des raisons environnementales, de risques, d’intérêt général",,R151-34 1°
05,00,"Emplacement réservé",L151-41 1° à 3°,"R151-34 4°, R151-38 1°, R151-43 3°, R151-48 2°, R151-50 1°"
05,01,Emplacement réservé aux voies publiques,L151-41 1°,R151-48 2°
05,02,Emplacement réservé aux ouvrages publics,L151-41 1°,R151-50 1°
05,03,Emplacement réservé aux installations d’intérêt général,L151-41 2°,R151-34 4°
05,04,Emplacement réservé aux espaces verts/continuités écologiques,L151-41 3°,R151-43 3°
05,05,Emplacement réservé logement social/mixité sociale,L151-41 4°,R151-38 1°
05,06,"Servitude de localisation des voies, ouvrages publics, installations d’intérêt général et espaces verts en zone U ou AU",L151-41 dernier alinéa,
05,08,"Emplacements réservés à la relocalisation d’équipements, de constructions et d’installations exposés au recul du trait de côte", L151-41 6°,
07,00,"Patrimoine bâti, paysager ou éléments de paysages à protéger pour des motifs d'ordre culturel, historique, architectural ou écologique",L151-19 et L151-23,R151-41 3° Et R151-43
07,01,"Patrimoine bâti à protéger pour des motifs d'ordre culturel, historique, architectural",L151-19,R151-41 3°
07,02,"Patrimoine paysager à protéger pour des motifs d'ordre culturel, historique, architectural",L151-19,R151-41 3°
07,03,"Patrimoine paysager correspondant à un espace boisé à protéger pour des motifs d'ordre culturel, historique, architectural",L151-19,R151-41 3°
07,04,"Éléments de paysage, (sites et secteurs) à préserver pour des motifs d'ordre écologique",L151-23,R151-43 5°
07,05,"Éléments de paysage correspondant à un espace boisé, (sites et secteurs) à préserver pour des motifs d'ordre écologique",L151-23 al.1,R151-43 5°
15,00,Règles d’implantation des constructions,L151-17  et L151-18,R151-39 dernier al.
15,01,Implantation des constructions par rapport aux voies et aux emprises publiques,L151-17 et L151-18,R151-39
15,02,Implantation des constructions par rapport aux limites séparatives latérales,L151-17 et L151-18,R151-39
15,03,Implantation des constructions par rapport aux limites des fonds de parcelles,L151-17,R151-39
15,98,Implantation alternative des constructions,L151-17,R151-39
22,00,Diversité commerciale à protéger ou à développer,L151-16,R151-37 4°
22,01,Diversité commerciale à protéger,L151-16,R151-37 4°
22,02,Diversité commerciale à développer,L151-16,R151-37 4°
22,03,Linéaire commercial protégé,L151-16,R151-37 4°
22,04,Linéaire commercial protégé renforcé,L151-16,R151-37 4°
24,00,"Voies, chemins, transport public à conserver et à créer",L151-38,R151-48 1°
